# 2013 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2013/03/21
# MJD: 56372
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# JC    JCMT
# SM    SMA
# AP    APEX
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|  32.4667 | AZ | C1 |  -593609984.0 |   346827104.0 | 0.4268 | 0.0135 |
|  32.4667 | AZ | C2 |  -593635072.0 |   346769312.0 | 0.4426 |  0.063 |
|  32.4667 | C1 | C2 |      -25111.0 |      -57788.0 | 1.4916 | 0.0299 |
|     32.8 | AP | C1 | -3334399488.0 |  4426639872.0 | 0.1867 | 0.0138 |
|     32.8 | AZ | C1 |  -606105664.0 |   335556224.0 | 0.3834 | 0.0124 |
|     32.8 | AZ | C2 |  -606126912.0 |   335498016.0 | 0.3944 | 0.0583 |
|     32.8 | C1 | C2 |      -21274.0 |      -58224.0 | 1.4922 | 0.0295 |
|  33.1333 | AP | C1 | -3200389632.0 |  4365248512.0 | 0.1475 |  0.015 |
|  33.1333 | AZ | C1 |  -613963200.0 |   324094176.0 | 0.4467 | 0.0124 |
|  33.1333 | AZ | C2 |  -613980480.0 |   324035584.0 | 0.4467 | 0.0544 |
|  33.1333 | C1 | C2 |      -17273.0 |      -58586.0 |  1.494 | 0.0307 |
|  33.4667 | AP | C1 | -3041889024.0 |  4306604544.0 | 0.1868 | 0.0236 |
|  33.4667 | AZ | C1 |  -617122560.0 |   312528576.0 | 0.5068 | 0.0157 |
|  33.4667 | AZ | C2 |  -617135680.0 |   312469728.0 | 0.5345 | 0.0599 |
|  33.4667 | C1 | C2 |      -13141.0 |      -58872.0 |   1.49 | 0.0298 |
|  49.2333 | AZ | C1 |  -604433600.0 |   283781440.0 | 0.5605 | 0.0093 |
|  49.2333 | AZ | C2 |  -604436096.0 |   283722208.0 | 0.5544 |  0.042 |
|  49.2333 | C1 | C2 |       -2455.0 |      -59239.0 | 1.4941 | 0.0183 |
|  49.2333 | C1 | JC | -2556926464.0 | -1507984128.0 | 0.1755 | 0.0216 |
|  49.7833 | AZ | C1 |  -580182784.0 |   265398336.0 | 0.5706 | 0.0092 |
|  49.7833 | AZ | C2 |  -580178112.0 |   265339136.0 | 0.5733 | 0.0371 |
|  49.7833 | C1 | C2 |        4703.0 |      -59204.0 |  1.498 | 0.0195 |
|  49.7833 | C1 | JC | -2367322112.0 | -1584399616.0 | 0.1255 | 0.0262 |
|  54.1333 | AZ | C1 |  -396729760.0 |   412021696.0 | 0.4869 | 0.0104 |
|  54.1333 | AZ | C2 |  -396774560.0 |   411968512.0 | 0.4937 | 0.0434 |
|  54.1333 | C1 | C2 |      -44800.0 |      -53186.0 | 1.4946 | 0.0196 |
|  54.4667 | AZ | C1 |  -436530592.0 |   404193536.0 | 0.4936 | 0.0103 |
|  54.4667 | AZ | C2 |  -436573344.0 |   404139520.0 | 0.5007 |  0.039 |
|  54.4667 | C1 | C2 |      -42762.0 |      -54008.0 | 1.4915 | 0.0179 |
|     54.8 | AZ | C1 |  -472990944.0 |   395648928.0 | 0.5288 | 0.0103 |
|     54.8 | AZ | C2 |  -473031360.0 |   395594144.0 | 0.5348 | 0.0378 |
|     54.8 | C1 | C2 |      -40396.0 |      -54790.0 | 1.4951 |  0.019 |
|  55.1333 | AP | C1 | -3610309120.0 |  4744522240.0 | 0.2006 | 0.0136 |
|  55.1333 | AZ | C1 |  -505831840.0 |   386453248.0 | 0.5439 | 0.0106 |
